Program Time [s],AccX,AccY,AccZ
2517.21,735.84,410.16,549.32
2517.25,746.58,411.13,547.36
2517.28,740.23,416.02,546.39
2517.31,732.91,417.97,545.41
2517.35,733.4,414.55,543.46
2517.38,744.63,430.66,542.48
2517.42,727.05,401.86,541.99
2517.45,735.35,419.43,529.3
2517.48,745.61,411.13,541.5
2517.52,748.05,409.67,548.83
2517.55,737.3,416.99,551.27
2517.59,740.23,416.02,546.39
2517.62,740.23,408.69,540.53
2517.65,738.77,407.71,549.8
2517.69,735.35,409.18,553.22
2517.72,735.84,410.16,546.87
2517.76,746.09,402.83,549.8
2517.79,744.14,406.25,556.15
2517.82,738.28,417.48,548.34
2517.86,746.09,407.71,549.32
2517.89,737.3,427.73,541.99
2517.92,749.51,415.04,550.29
2517.96,757.32,407.23,547.85
2517.99,736.33,414.55,538.09
2518.03,749.51,408.2,537.6
2518.06,731.93,417.97,551.27
2518.09,735.35,401.37,553.22
2518.13,745.61,410.16,551.76
2518.16,761.72,411.62,556.15
2518.2,736.33,413.57,551.27
2518.23,737.79,400.39,540.53
2518.26,747.56,405.76,533.69
2518.3,748.54,417.48,552.25
2518.33,737.3,406.25,550.29
2518.36,744.63,414.06,547.85
2518.4,740.72,412.6,534.18
2518.43,729.98,416.02,544.43
2518.47,736.82,423.34,545.41
2518.5,745.61,417.97,546.87
2518.53,744.63,414.55,551.27
2518.57,744.14,404.79,540.04
2518.6,734.86,408.69,540.53
2518.64,745.61,412.6,548.34
2518.67,738.77,416.02,545.9
2518.7,741.7,407.23,545.9
2518.74,727.05,412.6,551.27
2518.77,736.82,405.76,547.36
2518.81,745.12,420.9,548.34
2518.84,735.84,418.95,545.9
2518.87,745.12,409.67,544.43
2518.91,737.3,410.16,533.2
2518.94,740.23,411.62,551.76
2518.98,742.68,411.62,541.02
2519.01,742.19,414.55,547.36
2519.04,743.16,411.62,541.99
2519.08,741.7,410.64,555.18
2519.11,735.84,414.06,529.79
2519.14,735.35,400.39,550.29
2519.18,744.14,397.95,542.48
2519.21,734.86,412.6,550.78
2519.25,740.23,406.74,547.36
2519.28,737.79,416.99,559.08
2519.31,737.79,432.62,553.71
2519.35,740.72,422.85,540.53
2519.38,742.68,420.41,551.27
2519.42,732.91,419.43,542.48
2519.45,749.51,407.23,542.48
2519.48,733.89,405.27,548.34
2519.52,748.54,406.25,542.48
2519.55,742.68,415.04,536.62
2519.58,741.21,428.22,543.95
2519.62,735.84,404.3,535.64
2519.65,737.3,409.18,550.78
2519.69,740.23,411.13,544.43
2519.72,732.42,421.39,545.9
2519.75,731.45,397.95,541.02
2519.79,747.56,421.39,539.55
2519.82,737.79,417.97,540.04
2519.86,726.07,419.92,547.85
2519.89,749.51,409.67,544.43
2519.92,740.72,405.27,540.04
2519.96,726.07,416.99,541.99
2519.99,740.72,416.02,545.41
2520.03,743.16,415.04,546.87
2520.06,740.72,412.11,545.41
2520.09,747.56,413.57,540.04
2520.13,733.89,426.27,541.5
2520.16,740.23,419.43,540.04
2520.2,739.26,415.53,541.5
2520.23,730.47,409.67,543.95
2520.26,727.05,399.41,537.11
2520.3,747.56,406.25,541.02
2520.33,746.09,415.53,544.43
2520.36,738.77,431.15,539.55
2520.4,750,419.43,547.85
2520.43,744.14,410.64,562.01
2520.47,741.21,402.83,547.36
2520.5,745.61,417.48,530.27
2520.53,734.86,404.79,542.97
2520.57,739.26,418.95,563.96
2520.6,744.14,404.3,537.11
2520.64,745.12,401.86,539.06
2520.67,734.86,426.27,551.27
2520.7,760.74,409.67,551.27
2520.74,735.35,409.67,544.43
2520.77,738.77,416.99,541.02
2520.81,743.16,413.57,546.39
2520.84,738.28,413.57,538.09
2520.87,749.51,403.81,553.71
2520.91,733.4,407.23,562.5
2520.94,735.84,417.97,542.97
2520.97,732.91,405.27,551.76
2521.01,740.23,409.67,541.5
2521.04,746.58,418.95,543.95
2521.08,730.47,417.97,536.13
2521.11,742.19,416.5,534.18
2521.14,737.3,407.23,539.06
2521.18,729,410.64,546.39
2521.21,742.19,429.69,541.5
2521.25,736.82,416.5,540.04
2521.28,727.05,413.09,549.32
2521.31,740.23,413.57,544.92
2521.35,734.86,411.13,552.73
2521.38,728.52,411.13,545.41
2521.42,739.75,412.6,543.46
2521.45,723.63,426.27,536.62
2521.48,747.56,405.27,545.9
2521.52,748.05,418.46,542.97
2521.55,744.14,415.53,551.27
2521.58,731.45,416.02,551.27
2521.62,737.79,406.25,560.55
2521.65,741.7,427.25,552.73
