Program Time [s],data 0,data 1,data 2
7.76642,717.29,335.45,615.72
7.77051,711.43,348.14,613.28
7.77491,706.54,350.59,604.49
7.77925,718.75,350.1,627.44
7.78359,721.19,351.56,616.7
7.7879,711.43,338.38,631.84
7.79235,713.38,352.54,617.19
7.79669,713.38,339.84,623.54
7.80105,718.75,350.1,618.16
7.8054,709.96,343.75,614.75
7.80977,708.01,370.61,602.54
7.81414,718.26,367.19,617.19
7.81851,721.19,362.3,617.19
7.82288,726.07,350.1,609.37
7.82724,718.75,345.21,613.28
7.83158,718.75,349.12,613.28
7.83596,720.7,352.54,608.4
7.84032,729,354,619.14
7.84469,711.91,345.21,615.72
7.84905,714.84,347.66,616.7
7.85344,716.31,355.96,604.49
7.8578,720.7,344.73,616.21
7.86216,731.45,353.52,620.61
7.86653,732.91,339.84,609.86
7.8709,728.03,354,620.12
7.87091,715.82,349.12,618.16
7.87685,710.94,337.89,628.91
7.88121,712.89,347.66,617.19
7.8856,721.68,333.5,632.32
7.88995,732.91,339.84,626.46
7.89434,718.26,341.31,615.72
7.89868,723.14,343.75,620.12
7.90303,724.12,345.21,632.32
7.90741,726.07,352.05,621.58
7.91177,723.14,356.45,626.95
7.91616,738.28,356.93,621.09
7.92051,719.24,358.4,622.07
7.92487,720.21,341.31,619.14
7.92927,710.45,359.37,615.72
7.93361,731.45,357.42,612.3
7.93794,712.89,346.19,611.82
7.94236,724.12,354.98,612.3
7.94671,716.31,346.68,614.75
7.95109,719.24,349.61,624.02
7.95546,714.36,360.35,602.54
7.95983,713.87,353.52,605.96
7.96418,719.73,349.12,617.68
7.96854,720.21,352.54,609.37
7.9729,707.52,359.86,598.63
7.97727,711.91,354.49,616.21
7.98164,716.8,359.37,612.79
7.98601,722.66,363.77,613.77
7.99038,721.19,341.8,618.16
7.99474,722.17,355.96,620.12
7.99911,723.63,353.03,612.79
8.00346,728.03,351.56,621.09
8.00783,713.87,356.45,606.45
8.00783,715.82,341.8,621.58
8.0138,721.68,353.03,618.65
8.01816,710.45,341.31,631.35
8.02254,703.61,341.8,606.93
8.0269,719.24,344.73,610.84
8.03126,719.24,349.12,622.07
8.03562,722.66,350.59,628.42
8.03998,710.45,348.63,619.63
8.04435,708.01,347.66,604.49
8.04872,709.47,360.84,613.77
8.05312,716.8,355.47,610.35
8.05745,706.54,354.98,605.96
8.0618,711.91,351.07,613.77
8.06615,719.24,344.73,615.72
8.07054,720.21,347.17,613.28
8.0749,727.05,349.61,602.54
8.07926,709.96,350.59,608.4
8.08363,719.24,354.98,614.26
8.08804,731.93,343.75,604
8.09239,722.66,350.1,610.35
8.09674,715.33,340.82,616.7
8.1011,730.47,357.91,621.09
8.10548,727.05,343.26,631.84
8.10985,712.4,350.59,615.23
8.11419,728.03,342.77,617.68
8.11856,716.31,343.75,622.56
8.12293,713.38,358.89,625.49
8.1273,708.98,341.31,621.58
8.13166,725.59,363.77,623.54
8.13606,721.68,342.77,638.18
8.1404,717.77,354.49,628.91
8.14477,707.52,354,616.7
8.14477,712.4,340.82,617.19
8.15071,725.59,347.66,608.89
8.15505,723.63,341.31,604.98
